business_name,address,category01,rating,block,offense,offense_group,method,ucrrank,year,report_date
Barrel,613 Pennsylvania Ave SE,American (New),4.5,600 - 669 block of pennsylvania avenue se,assault w/dangerous weapon,violent,gun,3,2018,2018-01-21T06:17:06.000Z
Barrel,613 Pennsylvania Ave SE,American (New),4.5,600 - 669 block of pennsylvania avenue se,assault w/dangerous weapon,violent,others,3,2016,2016-08-11T15:29:31.000Z
Barrel,613 Pennsylvania Ave SE,American (New),4.5,600 - 669 block of pennsylvania avenue se,assault w/dangerous weapon,violent,knife,3,2016,2016-06-21T05:20:36.000Z
Barrel,613 Pennsylvania Ave SE,American (New),4.5,600 - 669 block of pennsylvania avenue se,burglary,property,others,5,2017,2017-06-06T17:01:14.000Z
Barrel,613 Pennsylvania Ave SE,American (New),4.5,600 - 669 block of pennsylvania avenue se,burglary,property,others,5,2016,2016-08-10T08:30:50.000Z
Barrel,613 Pennsylvania Ave SE,American (New),4.5,600 - 669 block of pennsylvania avenue se,burglary,property,others,5,2016,2016-07-05T17:39:03.000Z
Barrel,613 Pennsylvania Ave SE,American (New),4.5,600 - 669 block of pennsylvania avenue se,burglary,property,others,5,2016,2016-06-10T01:12:42.000Z
Barrel,613 Pennsylvania Ave SE,American (New),4.5,600 - 669 block of pennsylvania avenue se,motor vehicle theft,property,others,8,2018,2018-01-10T06:48:18.000Z
Barrel,613 Pennsylvania Ave SE,American (New),4.5,600 - 669 block of pennsylvania avenue se,motor vehicle theft,property,others,8,2017,2017-06-10T01:15:58.000Z
Barrel,613 Pennsylvania Ave SE,American (New),4.5,600 - 669 block of pennsylvania avenue se,robbery,violent,others,4,2018,2018-02-07T04:22:05.000Z
Barrel,613 Pennsylvania Ave SE,American (New),4.5,600 - 669 block of pennsylvania avenue se,robbery,violent,others,4,2017,2017-08-26T17:54:36.000Z
Barrel,613 Pennsylvania Ave SE,American (New),4.5,600 - 669 block of pennsylvania avenue se,robbery,violent,others,4,2017,2017-08-25T21:32:38.000Z
Barrel,613 Pennsylvania Ave SE,American (New),4.5,600 - 669 block of pennsylvania avenue se,robbery,violent,others,4,2017,2017-04-26T00:18:04.000Z
Barrel,613 Pennsylvania Ave SE,American (New),4.5,600 - 669 block of pennsylvania avenue se,robbery,violent,others,4,2017,2017-04-14T02:58:03.000Z
Barrel,613 Pennsylvania Ave SE,American (New),4.5,600 - 669 block of pennsylvania avenue se,robbery,violent,others,4,2017,2017-02-08T07:46:55.000Z
Barrel,613 Pennsylvania Ave SE,American (New),4.5,600 - 669 block of pennsylvania avenue se,robbery,violent,others,4,2016,2016-11-15T20:14:38.000Z
Barrel,613 Pennsylvania Ave SE,American (New),4.5,600 - 669 block of pennsylvania avenue se,robbery,violent,others,4,2016,2016-07-23T17:24:47.000Z
Barrel,613 Pennsylvania Ave SE,American (New),4.5,600 - 669 block of pennsylvania avenue se,theft f/auto,property,others,7,2018,2018-02-08T02:21:33.000Z
Barrel,613 Pennsylvania Ave SE,American (New),4.5,600 - 669 block of pennsylvania avenue se,theft f/auto,property,others,7,2017,2017-12-11T03:58:44.000Z
Barrel,613 Pennsylvania Ave SE,American (New),4.5,600 - 669 block of pennsylvania avenue se,theft f/auto,property,others,7,2017,2017-12-03T19:22:04.000Z
Barrel,613 Pennsylvania Ave SE,American (New),4.5,600 - 669 block of pennsylvania avenue se,theft f/auto,property,others,7,2017,2017-09-04T04:11:11.000Z
