business_name,address,loc_lat,loc_long,category01,rating,block,crime_lat,crime_long,offense,offense_group,method,ucrrank,year,report_date
1310 Kitchen & Bar,1310 Wisconsin Ave NW,38.90721,-77.06356,Breakfast & Brunch,4,1300 - 1335 block of wisconsin avenue nw,38.90721387,-77.06325007,assault w/dangerous weapon,violent,others,3,2017,2017-05-08T21:57:31.000Z
1310 Kitchen & Bar,1310 Wisconsin Ave NW,38.90721,-77.06356,Breakfast & Brunch,4,1300 - 1335 block of wisconsin avenue nw,38.90721387,-77.06325007,assault w/dangerous weapon,violent,others,3,2017,2017-03-16T19:54:16.000Z
1310 Kitchen & Bar,1310 Wisconsin Ave NW,38.90721,-77.06356,Breakfast & Brunch,4,1300 - 1335 block of wisconsin avenue nw,38.90721387,-77.06325007,burglary,property,others,5,2017,2017-12-07T08:22:38.000Z
1310 Kitchen & Bar,1310 Wisconsin Ave NW,38.90721,-77.06356,Breakfast & Brunch,4,1300 - 1335 block of wisconsin avenue nw,38.90721387,-77.06325007,burglary,property,others,5,2016,2016-07-11T05:41:56.000Z
1310 Kitchen & Bar,1310 Wisconsin Ave NW,38.90721,-77.06356,Breakfast & Brunch,4,1300 - 1335 block of wisconsin avenue nw,38.90721387,-77.06325007,motor vehicle theft,property,others,8,2018,2018-04-04T01:11:15.000Z
1310 Kitchen & Bar,1310 Wisconsin Ave NW,38.90721,-77.06356,Breakfast & Brunch,4,1300 - 1335 block of wisconsin avenue nw,38.90721387,-77.06325007,theft f/auto,property,others,7,2016,2016-07-12T13:07:37.000Z
1310 Kitchen & Bar,1310 Wisconsin Ave NW,38.90721,-77.06356,Breakfast & Brunch,4,1300 - 1335 block of wisconsin avenue nw,38.90721387,-77.06325007,theft/other,property,others,6,2018,2018-03-30T08:59:49.000Z
1310 Kitchen & Bar,1310 Wisconsin Ave NW,38.90721,-77.06356,Breakfast & Brunch,4,1300 - 1335 block of wisconsin avenue nw,38.90721387,-77.06325007,theft/other,property,others,6,2018,2018-02-03T13:01:50.000Z
1310 Kitchen & Bar,1310 Wisconsin Ave NW,38.90721,-77.06356,Breakfast & Brunch,4,1300 - 1335 block of wisconsin avenue nw,38.90721387,-77.06325007,theft/other,property,others,6,2017,2017-09-02T20:25:56.000Z
1310 Kitchen & Bar,1310 Wisconsin Ave NW,38.90721,-77.06356,Breakfast & Brunch,4,1300 - 1335 block of wisconsin avenue nw,38.90721387,-77.06325007,theft/other,property,others,6,2017,2017-02-28T21:57:59.000Z
1310 Kitchen & Bar,1310 Wisconsin Ave NW,38.90721,-77.06356,Breakfast & Brunch,4,1300 - 1335 block of wisconsin avenue nw,38.90721387,-77.06325007,theft/other,property,others,6,2016,2016-11-07T01:52:04.000Z
1310 Kitchen & Bar,1310 Wisconsin Ave NW,38.90721,-77.06356,Breakfast & Brunch,4,1300 - 1335 block of wisconsin avenue nw,38.90721387,-77.06325007,theft/other,property,others,6,2016,2016-07-10T02:09:45.000Z
1310 Kitchen & Bar,1310 Wisconsin Ave NW,38.90721,-77.06356,Breakfast & Brunch,4,1300 - 1335 block of wisconsin avenue nw,38.90721387,-77.06325007,theft/other,property,others,6,2016,2016-06-28T15:00:38.000Z
1310 Kitchen & Bar,1310 Wisconsin Ave NW,38.90721,-77.06356,Breakfast & Brunch,4,1300 - 1335 block of wisconsin avenue nw,38.90721387,-77.06325007,theft/other,property,others,6,2016,2016-06-05T15:59:31.000Z
1310 Kitchen & Bar,1310 Wisconsin Ave NW,38.90721,-77.06356,Breakfast & Brunch,4,1300 - 1335 block of wisconsin avenue nw,38.90721387,-77.06325007,theft/other,property,others,6,2016,2016-04-25T17:56:45.000Z
